subject,predicate,object
Organization,hasRORID,xsd:anyURI
CreationTime,asDateTime,xsd:dateTime
CreationUser,subClassOf,User
Public,asBoolean,xsd:boolean
NodeWithAttributes,hasUpdateTime,UpdateTime
NodeWithAttributes,hasCreationTime,CreationTime
NodeWithAttributes,subClassOf,Node
ModelVersion,asString,xsd:string
NodeWithAttributes,hasModelVersion,ModelVersion
NodeWithAttributes,hasName,xsd:string
UpdateUser,subClassOf,User
NodeWithAttributes,hasNotes,Notes
NodeWithAttributes,hasResearchGroup,Organization
NodeWithAttributes,isLocked,Locked
NodeWithAttributes,isPublic,Public
Locked,asBoolean,xsd:boolean
UpdateTime,asDateTime,xsd:dateTime
Notes,asString,xsd:string
NodeWithAttributes,hasCreationUser,CreationUser
NodeWithAttributes,hasUpdateUser,UpdateUser
