subject,predicate,object
Reference,hasTitle,xsd:string
Journal,asString,xsd:string
Reference,:pmid,rdfs:Literal
Reference,:pageEnd,rdfs:Literal
Publisher,asString,xsd:string
Reference,hasPublicationYear,xsd:gYear
Reference,dcterms:publisher,Publisher
Reference,hasArXivID,ArXivID
Reference,subClassOf,Node
Reference,:issn,rdfs:Literal
Reference,:volume,rdfs:Literal
Reference,:doi,rdfs:Literal
Reference,hasLiteratureType,LiteratureTypes
Reference,hasWebsite,xsd:anyURI
Reference,:issue,rdfs:Literal
Author,asString,xsd:string
Reference,hasAuthor,Author
Reference,;pageStart,rdfs:Literal
ArXivID,asString,xsd:string
Reference,hasJournal,Journal
