subject,predicate,object
TensileModulus,isMeasuredUnderCondition,Conditions
CompressionStressAtBreak,subClassOf,Compression
ShearModulus,subClassOf,Shear
FiberTensileElongation,subClassOf,Tensile
CompressionStressAtBreak,subClassOf,MechanicalProperty
PlasticElastic,hasSampleShape,SampleShape
StrainRate,subClassOf,FractureCharacteristic
Shear,isMeasuredUnderCondition,Conditions
EssentialWorkOfFracture,hasFractureCharacteristic,FractureCharacteristic
Flexural,isMeasuredUnderCondition,StrainRate
Fracture,hasFractureCharacteristic,PrecrackingProcess
Preload,subClassOf,Condition
Shear,isMeasuredUnderCondition,Preload
IZODImpactEnergy,subClassOf,MechanicalProperty
Notch,subClassOf,MechanicalProperty
JIntegral,subClassOf,MechanicalProperty
PlasticElastic,hasJIntegral,JIntegral
ShearStressAtBreak,subClassOf,MechanicalProperty
TestStandard,subClassOf,MechanicalProperty
CharpyImpactEnergy,subClassOf,Impact
PlasticElastic,subClassOf,Fracture
LinearElastic,hasFractureCharacteristic,FractureCharacteristic
CompressionModulus,subClassOf,Compression
Flexural,isMeasuredUnderCondition,Conditions
FlexuralModulus,subClassOf,MechanicalProperty
FiberTensileModulus,subClassOf,Tensile
CompressionModulus,subClassOf,MechanicalProperty
Flexural,isMeasuredUnderCondition,Preload
FiberTensileStrength,subClassOf,MechanicalProperty
PlasticElastic,hasFractureCharacteristic,FractureCharacteristic
ShearModulus,subClassOf,MechanicalProperty
TensileStressAtYield,subClassOf,MechanicalProperty
HardnessValue,subClassOf,MechanicalProperty
TensileToughness,isMeasuredUnderCondition,Conditions
Shear,isMeasuredUnderCondition,StrainRate
FlexuralStressAtYield,subClassOf,Flexural
Scale,subClassOf,MechanicalProperty
ElongationAtBreak,isMeasuredUnderCondition,Conditions
IZODArea,subClassOf,MechanicalProperty
FlexuralStressAtYield,isMeasuredUnderCondition,Conditions
ImpactToughness,subClassOf,Impact
ElongationAtBreak,subClassOf,MechanicalProperty
PoissonRatio,subClassOf,MechanicalProperty
Compression,subClassOf,MechanicalProperty
CompressionStressAtYield,subClassOf,Compression
Conditions,subClassOf,Condition
CompressionStressAtYield,subClassOf,MechanicalProperty
SampleShape,subClassOf,MechanicalProperty
Tensile,isMeasuredUnderCondition,Conditions
TensileStressAtBreak,isMeasuredUnderCondition,Conditions
ShearStressAtYield,isMeasuredUnderCondition,Conditions
PrecrackingProcess,subClassOf,FractureCharacteristic
Fracture,hasFractureCharacteristic,FractureCharacteristic
TensileStressAtBreak,subClassOf,Tensile
TestStandard,subClassOf,Hardness
StrainRate,subClassOf,Conditions
Compression,isMeasuredUnderCondition,StrainRate
FiberTensileStrength,isMeasuredUnderCondition,Conditions
Tensile,isMeasuredUnderCondition,Preload
KFactor,subClassOf,MechanicalProperty
ShearModulus,isMeasuredUnderCondition,Conditions
TensileStressAtYield,isMeasuredUnderCondition,Conditions
CharpyImpactEnergy,subClassOf,MechanicalProperty
Property,isMeasuredUnderCondition,Condition
PoissonRatio,isMeasuredUnderCondition,Conditions
Preload,subClassOf,Conditions
FlexuralToughness,subClassOf,MechanicalProperty
Compression,isMeasuredUnderCondition,Conditions
HardnessValue,subClassOf,Hardness
ElongationAtYield,subClassOf,MechanicalProperty
Scale,subClassOf,Hardness
StrainRate,subClassOf,MechanicalProperty
ElongationAtBreak,subClassOf,Tensile
PhysicalProperty,subClassOf,Property
TensileModulus,subClassOf,MechanicalProperty
Compression,isMeasuredUnderCondition,Preload
CompressiveTougness,subClassOf,Compression
IZODImpactEnergy,subClassOf,Impact
LinearElastic,hasKFactor,KFactor
Tensile,isMeasuredUnderCondition,StrainRate
