"- Return CSV-style list of complete triples (subject","predicate","object)"
"- Surface treatments with AEAPS","HMDS","etc."
"- ""PhysicalProcess","hasPrerequisiteProcess","..."""
"PhysicalProcess","hasProduct","Material"
"PhysicalProcess","hasPrerequisiteProcess","PhysicalProcess"
"PhysicalProcess","hasDescription","Description"
"PhysicalProcess","hasKeyword","Keyword"
"PhysicalProcess","hasEquipment","Equipment"
"Material","subClassOf","PhysicalProcess"
"Material","hasSurfaceTreatment","surface modification"
"MeasurementMethod","isUsedToCharacterize","PhysicalProcess"
