Material/Compound,supersetOf,NodeWithAttributes -> EpoxyResinBlend/material/superclass,hasProperty/Density:,0.95 g/cm³ Material/Nanocomposite,directProductOf,Polyethylene and Silica Nanoparticles/material/composites -> Polymers with Nanoscale Fillers ,isType of,Silica/XLPE nanodielectrics/polymer composites
Material/Nanocomposite,supersetOf,NodeWithAttributes -> EpoxyResinBlend/matrix/superclass Material/Silica Nanoparticle,hasSurfaceTreatment,Triethoxyvinylsilane (TES)/surface treatment for silica nanoparticles
Material/Inclusions in Polymer/Composite,Nanoscale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Nanoscale Silica Inclusions material/surface treated Nanoparticle,supersetOf,NodeWithAttributes -> EpoxyResinBlend/matrix /subclass containing surface modified nanoparticles
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,N-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,hexamethyldisilazane (HMDS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,trihydroxypropyltriethoxysilane (TES)/surface treatment
Material/Inclusions in Polymer/Composite,Micron Scale Silica ,isType of,XLPE/Nanocomposites/inclusions/materials -> XLPE with Micron Scale Silica Inclusions material/surface treatment for silica particles,hasSurfaceTreatment,n-(2-aminoethyl) 3-aminopropyltrimethoxysilane (AEAPS)/surface treatment
