"Experiment001","hasLocation","MIT Laboratory 3B"
"DSC_Exp12","hasCalorimetryCharacteristic","CoolingRate: 10 °C/min"
"RheoTest22","hasRheometryCharacteristic","CapillarySize: 0.5 mm"
"TEM_SampleA","hasMicrscopyCharacteristic","Magnification: 50000x"
"NanocompositeStudy2023","hasDOI","https://doi.org/10.1016/j.polymer.2023.125"
"Ref1234","hasAuthor","Jane Smith"
"EpoxyResinBlend","hasComponent","CarbonNanotubes"
"MDRun45","hasSoftwareConfiguration","LAMMPS v3.2"
"DataSet_AlFoam","hasSamplePreparation","HeatTreatment950C"
"SEM_Char2022","hasResultData","SEM_Results_Char22.csv"
"FiberX_2021","isMeasuredUnderCondition","Temperature: 25 °C"
"PLA_Sample7","isMeasuredUnderCondition","StrainRate: 0.01 /s"
"SiO2_Powder_A","hasProperty","SSA_SiO2_A"
"SSA_SiO2_A","hasQuantity","200 m²/g"
"TiO2_Nanoparticles","hasQuantity","3 wt%"
