"For ""RealPermitivity""","they discuss permittivity values at different frequencies and temperatures","with measured data shown on figures. This clearly qualifies as supported information that should be extracted."
"RealPermitivity","subClassOf","ElectricalProperty"
"Description","subClassOf","PhysicalProperty"
"EnergyDensity","subClassOf","DCCapacitiveDispersion"
"WebullParameter","subClassOf","ACDielectricDispersion"
"Impedance","subClassOf","ElectricalProperty"
"LossTangent","subClassOf","ElectricalProperty"
"CurrentDensity","subClassOf","ElectricalProperty"
"PercolationThreshold","subClassOf","PhysicalProperty"
"RealPermitivity","subClassOf","DCCapacitiveDispersion"
"DielectricBreakdownStrength","subClassOf","DCCapacitiveDispersion"
"VoltageEndurance","subClassOf","ACDielectricDispersion"
"WeibullParameter","subClassOf","ElectricalProperty"
"LossTangent","subClassOf","DCCapacitiveDispersion"
