"Received: 3 February 2006 / Accepted: 5 May 2006 / Published online: 11 February 2007","asBoolean","xsd:boolean"
"Received: 3 February 2006 / Accepted: 5 May 2006 / Published online: 11 February 2007","Locked","asBoolean,xsd:boolean"
"M. Roy","subClassOf","User"
"M. Roy","J. K. Nelson","subClassOf,User"
"M. Roy","R. K. MacCrone","subClassOf,User"
"J. K. Nelson","subClassOf","User"
"R. K. MacCrone","subClassOf","User"
"Received: 3 February 2006 / Accepted: 5 May 2006 / Published online: 11 February 2007","Materials Science and Engineering Department","xsd:anyURI"
"DoI 10.1007/s10853-006-0413-0","Materials Science and Engineering Department","xsd:anyURI"
"Materials Science and Engineering Department","Electrical","Computer, and Systems Engineering Department"
"M. Roy","subClassOf","User"
"J. K. Nelson","subClassOf","User"
"R. K. MacCrone","subClassOf","User"
