"XLPE","hasRORID","http://purl.org/dc/dcmitype/dataset"
"XLPE","hasCreationTime","2007-02-11T00:00:00"
"XLPE","hasUpdateTime","2007-02-11T00:00:00"
"Mihir Roy","hasName","Mihir Roy"
"J. Keith Nelson","hasName","J. Keith Nelson"
"R. K. MacCrone","hasName","R. K. MacCrone"
"L. S. Schadler","hasName","L. S. Schadler"
"Rensselaer Polytechnic Institute","hasResearchGroup","Materials Science and Engineering Department"
"Rensselaer Polytechnic Institute","hasResearchGroup","Electrical, Computer, and Systems Engineering Department"
"XLPE","hasNotes","XLPE"
"XLPE","hasNotes","nanocomposites"
"XLPE","hasNotes","micron scale fillers"
"XLPE","hasNotes","dielectric properties"
"XLPE","hasNotes","breakdown strength"
"XLPE","hasNotes","voltage endurance"
"XLPE","hasNotes","interface properties"
"XLPE","hasNotes","dispersions"
"XLPE","hasNotes","defect size"
"XLPE","hasNotes","trap sites"
"XLPE","hasNotes","oxygen defect concentration"
"XLPE","hasNotes","chemical linkage"
"XLPE","hasNotes","crystalline structure"
"Untreated nanoscale silica","hasNotes","Untreated nanoscale silica"
"AEAPS treated nanoscale silica","hasNotes","AEAPS treated nanoscale silica"
"HMDS treated nanoscale silica","hasNotes","HMDS treated nanoscale silica"
"TES treated nanoscale silica","hasNotes","TES treated nanoscale silica"
"micron scale silica","hasNotes","micron scale silica"
"Untreated nanoscale silica","hasResearchGroup","Materials Science and Engineering Department"
"AEAPS treated nanoscale silica","hasResearchGroup","Materials Science and Engineering Department"
"HMDS treated nanoscale silica","hasResearchGroup","Materials Science and Engineering Department"
"TES treated nanoscale silica","hasResearchGroup","Materials Science and Engineering Department"
"micron scale silica","hasResearchGroup","Materials Science and Engineering Department"
"Untreated nanoscale silica","hasCreationUser","Mihir Roy"
"AEAPS treated nanoscale silica","hasCreationUser","Mihir Roy"
"HMDS treated nanoscale silica","hasCreationUser","Mihir Roy"
"TES treated nanoscale silica","hasCreationUser","Mihir Roy"
"micron scale silica","hasCreationUser","Mihir Roy"
"Untreated nanoscale silica","hasUpdateUser","L. S. Schadler"
"AEAPS treated nanoscale silica","hasUpdateUser","L. S. Schadler"
"HMDS treated nanoscale silica","hasUpdateUser","L. S. Schadler"
"TES treated nanoscale silica","hasUpdateUser","L. S. Schadler"
"micron scale silica","hasUpdateUser","L. S. Schadler"
"Untreated nanoscale silica","isLocked","false"
"AEAPS treated nanoscale silica","isLocked","false"
"HMDS treated nanoscale silica","isLocked","false"
"TES treated nanoscale silica","isLocked","false"
"micron scale silica","isLocked","false"
"Untreated nanoscale silica","hasModelVersion","1"
"AEAPS treated nanoscale silica","hasModelVersion","1"
"HMDS treated nanoscale silica","hasModelVersion","1"
"TES treated nanoscale silica","hasModelVersion","1"
"micron scale silica","hasModelVersion","1"
"2007-02-11T00:00:00","asDateTime","2007-02-11T00:00:00"
"false","asBoolean","false"
"XLPE","asString","XLPE"
"Untreated nanoscale silica","asString","Untreated nanoscale silica"
"AEAPS treated nanoscale silica","asString","AEAPS treated nanoscale silica"
"HMDS treated nanoscale silica","asString","HMDS treated nanoscale silica"
"TES treated nanoscale silica","asString","TES treated nanoscale silica"
"micron scale silica","asString","micron scale silica"
