"DifferentialScanningCalorimetry","hasCalorimetryCharacteristic","CycleInformation"
"ThermochemicalMethod","subClassOf","DifferentialScanningCalorimetry"
"ThermochemicalMethod","subClassOf","CalorimetryCharacteristic"
"FourierTransformInfraredSpectroscopy","subClassOf","Spectroscopy"
"FourierTransformInfraredSpectroscopy","subClassOf","CharacterizationMethod"
"DynamicMechanicalAnalysis","subClassOf","ThermochemicalMethod"
"DynamicMechanicalAnalysis","subClassOf","CharacterizationMethod"
"ScanningElectronMicroscopy","hasMicrscopyCharacteristic","AcceleratingVoltage"
"ScanningElectronMicroscopy","hasMicrscopyCharacteristic","EmissionCurrent"
"ScanningElectronMicroscopy","subClassOf","Microscopy"
"ScanningElectronMicroscopy","subClassOf","CharacterizationMethod"
"PhysicalProcess","hasProperty","Property"
"PulsedElectroAcoustic","subClassOf","CharacterizationMethod"
"DielectricAndImpedanceSpectroscopyAnalysis","subClassOf","Spectroscopy"
"DielectricAndImpedanceSpectroscopyAnalysis","subClassOf","CharacterizationMethod"
"EmissionCurrent","subClassOf","MicroscopyCharacteristic"
"TransmissionElectronMicroscopy","hasMicrosityCharacteristic","Magnification"
"TransmissionElectronMicroscopy","hasMicrosityCharacteristic","WorkingDistance"
"TransmissionElectronMicroscopy","subClassOf","Microscopy"
"TransmissionElectronMicroscopy","subClassOf","CharacterizationMethod"
"AtomicForceMicroscopy","subClassOf","CharacterizationMethod"
"AtomicForceMicroscopy","subClassOf","Microscopy"
"Rheometry","hasRheometryCharacteristic","CapillarySize"
"Rheometry","hasRheometryCharacteristic","RheometerType"
"Equipment","hasEquipmentDescription","EquipmentDescription"
"Equipment","hasEquipment","CharacterizationMethod"
