"1. Organization","hasRORID","xsd:anyURI"
"2. CreationTime","asDateTime","xsd:dateTime"
"3. Public","asBoolean","xsd:boolean"
"4. NodeWithAttributes","hasUpdateTime","UpdateTime"
"5. NodeWithAttributes","hasCreationTime","CreationTime"
"6. NodeWithAttributes","subClassOf","User"
"7. ModelVersion","asString","xsd:string"
"8. NodeWithAttributes","hasModelVersion","ModelVersion"
"9. NodeWithAttributes","hasName","xsd:string"
"10. UpdateUser","subClassOf","User"
"11. NodeWithAttributes","hasNotes","Notes"
"12. NodeWithAttributes","hasResearchGroup","Organization"
"13. NodeWithAttributes","isLocked","Locked"
"14. NodeWithAttributes","isPublic","Public"
"15. Locked","asBoolean","xsd:boolean"
"16. UpdateTime","asDateTime","xsd:dateTime"
"17. Notes","asString","xsd:string"
"18. NodeWithAttributes","hasCreationUser","CreationUser"
"19. NodeWithAttributes","hasUpdateUser","UpdateUser"
