"Material","hasType","Type"
"XLPE","hasType","Polymer"
"Silica","hasType","Filler"
"XLPE","hasProperty","BreakdownStrength"
"XLPE","hasProperty","VoltageEndurance"
"Silica","hasComponent","Silica"
"XLPE","hasComponent","Silica"
"XLPE","hasComponent","Polymer"
"XLPE","hasProperty","BreakdownStrength"
"XLPE","hasProperty","VoltageEndurance"
"Silica","hasProperty","BreakdownStrength"
"Silica","hasProperty","VoltageEndurance"
"XLPE","hasProperty","BreakdownStrength"
"XLPE","hasProperty","VoltageEndurance"
"Silica","hasProperty","BreakdownStrength"
"Silica","hasProperty","VoltageEndurance"
