"EPR_Data","hasSamplePreparation","Cryo-crushing"
"XPS_Data","hasExperiment","XPS_Analysis"
"Breakdown_Data","hasExperiment","DC_Breakdown_Test"
"Endurance_Data","hasExperiment","Voltage_Endurance_Test"
"Dielectric_Data","hasExperiment","Dielectric_Spectroscopy"
"TSC_Data","hasExperiment","TSC_Measurements"
"Absorption_Data","hasExperiment","Absorption_Current_Measurements"
"SpaceCharge_Data","hasExperiment","Space_Charge_Measurements"
"Breakdown_Data","hasMaterial","XLPE"
"Breakdown_Data","hasMaterial","Untreated_Nanosilica_XLPE"
"Breakdown_Data","hasMaterial","AEAPS_Nanosilica_XLPE"
"Breakdown_Data","hasMaterial","HMDS_Nanosilica_XLPE"
"Breakdown_Data","hasMaterial","TES_Nanosilica_XLPE"
"Endurance_Data","hasMaterial","XLPE"
"Endurance_Data","hasMaterial","Nanofilled_Materials"
"Dielectric_Data","hasMaterial","Base_Resin"
"Dielectric_Data","hasMaterial","Micron_Filled_XLPE"
"Dielectric_Data","hasMaterial","Nanofilled_XLPE"
"TSC_Data","hasMaterial","Microcomposite"
"TSC_Data","hasMaterial","Untreated_Nanocomposite"
"TSC_Data","hasMaterial","Base_Polymer"
"Absorption_Data","hasMaterial","All_Composites"
"SpaceCharge_Data","hasMaterial","Tested_Materials"
"Permittivity_Data","hasComputation","Lichtenecker_Rother_Formula"
"Permittivity_Data","hasComputation","Maxwell_Garnet_Formula"
"Permittivity_Data","hasComputation","Landau_Lifshitz_Formula"
"Mobility_Data","hasComputation","Malec_Method"
"Breakdown_Strength","hasType","Electrical_Property"
"Voltage_Endurance","hasType","Electrical_Property"
"Permittivity","hasType","Dielectric_Property"
"Tan_Delta","hasType","Dielectric_Property"
"Absorption_Current","hasType","Electrical_Property"
"Mobility","hasType","Transport_Property"
