"Roy","hasProject","Candidate mechanisms controlling the electrical characteristics of silica/XLPE nanodielectrics"
"Roy","hasDOI","https://doi.org/10.1016/j.polymer.2023.125"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
"Roy","hasExperiment","Experiment"
