"The schema defines various relations with specific predicates and expected object types (e.g.","`xsd:anyURI`","`xsd:dateTime`). The task is to extract triples that fit these patterns."
"1. **Organization","hasRORID","xsd:anyURI**:"
"L. S. Schadler & Rensselaer Polytechnic Institute","hasRORID","(e-mail: schadl@rpi.edu)"
"2. **CreationTime","asDateTime","xsd:dateTime**:"
"Received","asDateTime","3 February 2006"
"Accepted","asDateTime","5 May 2006"
"Published online","asDateTime","11 February 2007"
"3. **CreationUser","subclassOf","User**:"
"CreationUser","subclassOf","Mihir Roy J. Keith Nelson R. K. MacCrone L. S. Schadler"
"4. **Public","asBoolean","xsd:boolean**:"
"Public","asBoolean","true"
"5. **NodeWithAttributes","hasUpdateTime","UpdateTime**:"
"Received","hasUpdateTime","3 February 2006"
"Accepted","hasUpdateTime","5 May 2006"
"Published online","hasUpdateTime","11 February 2007"
"6. **NodeWithAttributes","subclassOf","Node**:"
"NodeWithAttributes","subclassOf","Materials Science and Engineering Department"
"7. **ModelVersion","asString","xsd:string**:"
"ModelVersion","asString","J Mater Sci (2007) 42:3789–3799 DOI 10.1007/s10853-006-0413-0"
"8. **NodeWithAttributes","hasModelVersion","ModelVersion**:"
"NodeWithAttributes","hasModelVersion","J Mater Sci (2007) 42:3789–3799 DOI 10.1007/s10853-006-0413-0"
"9. **NodeWithAttributes","hasName","xsd:string**:"
"10. **UpdateUser","subclassOf","User**:"
"- Electrical","Computer","and Systems Engineering Department"
"11. **NodeWithAttributes","hasNotes","Notes**:"
"NodeWithAttributes","hasNotes","The most significant difference between micron-scale and nano-scale fillers is the large interfacial area in nanocomposites."
"12. **NodeWithAttributes","hasResearchGroup","Organization**:"
"NodeWithAttributes","hasResearchGroup","Materials Science and Engineering Department"
"13. **NodeWithAttributes","isLocked","Locked**:"
"14. **NodeWithAttributes","isPublic","Public**:"
"NodeWithAttributes","isPublic","true"
"15. **Locked","asBoolean","xsd:boolean**:"
"16. **UpdateTime","asDateTime","xsd:dateTime**:"
"17. **Notes","asString","xsd:string**:"
"Notes","asString","The most significant difference between micron-scale and nano-scale fillers is the large interfacial area in nanocomposites."
"18. **NodeWithAttributes","hasCreationUser","CreationUser**:"
"NodeWithAttributes","hasCreationUser","Mihir Roy J. Keith Nelson R. K. MacCrone L. S. Schadler"
"19. **NodeWithAttributes","hasUpdateUser","UpdateUser**:"
"L. S. Schadler & Rensselaer Polytechnic Institute","hasRORID","(e-mail: schadl@rpi.edu)"
"Received","asDateTime","3 February 2006"
"Accepted","asDateTime","5 May 2006"
"Published online","asDateTime","11 February 2007"
"CreationUser","subclassOf","Mihir Roy J. Keith Nelson R. K. MacCrone L. S. Schadler"
"Public","asBoolean","true"
"Received","hasUpdateTime","3 February 2006"
"Accepted","hasUpdateTime","5 May 2006"
"Published online","hasUpdateTime","11 February 2007"
"NodeWithAttributes","subclassOf","Materials Science and Engineering Department"
"ModelVersion","asString","J Mater Sci (2007) 42:3789–3799 DOI 10.1007/s10853-006-0413-0"
"NodeWithAttributes","hasModelVersion","J Mater Sci (2007) 42:3789–3799 DOI 10.1007/s10853-006-0413-0"
"NodeWithAttributes","hasNotes","The most significant difference between micron-scale and nano-scale fillers is the large interfacial area in nanocomposites."
"NodeWithAttributes","hasResearchGroup","Materials Science and Engineering Department"
"NodeWithAttributes","isPublic","true"
"Notes","asString","The most significant difference between micron-scale and nano-scale fillers is the large interfacial area in nanocomposites."
"NodeWithAttributes","hasCreationUser","Mihir Roy J. Keith Nelson R. K. MacCrone L. S. Schadler"
