"Shared Physical Properties","subClassOf","Property"
"Shared Metadata Properties","subClassOf","Shared Properties"
"Matrix and Filler Properties","subClassOf","Shared Physical Properties"
"Matrix and PST Properties","subClassOf","Shared Properties"
"Matrix and Filler Properties","subClassOf","Shared Metadata Properties"
"Matrix and PST Properties","subClassOf","Shared Physical Properties"
"Matrix Properties","subClassOf","Matrix and PST Properties"
"Matrix Properties","subClassOf","Matrix and Filler Properties"
"Matrix Properties","subClassOf","PubChemReference"
"Matrix Properties","subClassOf","ConstitutionalUnit"
"Filler Properties","subClassOf","Matrix and Filler Properties"
"Filler Properties","subClassOf","PubChemReference"
"ParticleDiameter","subClassOf","Filler Properties"
"ParticleDiameter","subClassOf","Matrix and Filler Properties"
"ParticleDiameter","subClassOf","PhysicalProperty"
"AspectRatio","subClassOf","Filler Properties"
"AspectRatio","subClassOf","Matrix and Filler Properties"
"AspectRatio","subClassOf","PhysicalProperty"
"TotalSurfaceArea","subClassOf","Filler Properties"
"TotalSurfaceArea","subClassOf","Matrix and Filler Properties"
"TotalSurfaceArea","subClassOf","PhysicalProperty"
"SpecificSurfaceArea","subClassOf","PhysicalProperty"
"SpecificSurfaceArea","subClassOf","Filler Properties"
"SpecificSurfaceArea","subClassOf","Matrix and Filler Properties"
"Particle Surface Treatment (PST) Properties","subClassOf","ConstitutionalUnit"
"Particle Surface Treatment (PST) Properties","subClassOf","Matrix and PST Properties"
"Particle Surface Treatment (PST) Properties","subClassOf","PhysicalProperty"
"Particle Surface Treatment (PST) Properties","subClassOf","MolecularWeight"
"PSTPopulationDensity","subClassOf","Matrix and PST Properties"
"PSTPopulationDensity","subClassOf","PhysicalProperty"
"CrystalPhase","subClassOf","Matrix and Filler Properties"
"CrystalPhase","subClassOf","PhysicalProperty"
"CrystalPhase","subClassOf","Filler Properties"
"Tacticity","subClassOf","Matrix Properties"
"Tacticity","subClassOf","Tacticity"
"Tacticity","subClassOf","Matrix and Filler Properties"
"Tacticity","subClassOf","Matrix and PST Properties"
"Density","subClassOf","PhysicalProperty"
"Density","subClassOf","Shared Physical Properties"
"Viscosity","subClassOf","Matrix Properties"
"Viscosity","subClassOf","Matrix and Filler Properties"
"Viscosity","subClassOf","Matrix and PST Properties"
"Viscosity","subClassOf","PhysicalProperty"
"Polydispersity","subClassOf","Matrix Properties"
"Polydispersity","subClassOf","Matrix and Filler Properties"
"Polydispersity","subClassOf","Matrix and PST Properties"
"Polydispersity","subClassOf","PhysicalProperty"
"MolecularWeight","subClassOf","Matrix Properties"
"MolecularWeight","subClassOf","Matrix and Filler Properties"
"MolecularWeight","subClassOf","Matrix and PST Properties"
"MolecularWeight","subClassOf","Shared Properties"
"MolecularWeight","subClassOf","PhysicalProperty"
"ConstitutionalUnit","subClassOf","Matrix Properties"
"ConstitutionalUnit","subClassOf","Matrix and PST Properties"
"ConstitutionalUnit","subClassOf","PhysicalProperty"
"ConstitutionalUnit","subClassOf","Shared Properties"
"Additive","subClassOf","Matrix Properties"
"Additive","subClassOf","Matrix and Filler Properties"
"Additive","subClassOf","Matrix and PST Properties"
"Additive","subClassOf","PhysicalProperty"
"Hardener","subClassOf","Matrix Properties"
"Hardener","subClassOf","Matrix and Filler Properties"
"Hardener","subClassOf","Matrix and PST Properties"
"Hardener","subClassOf","PhysicalProperty"
"PolymerClass","subClassOf","Matrix Properties"
"PolymerClass","subClassOf","Matrix and Filler Properties"
"PolymerClass","subClassOf","PhysicalProperty"
"PolymerPlasticType","subClassOf","Matrix Properties"
"PolymerPlasticType","subClassOf","Matrix and Filler Properties"
"PolymerPlasticType","subClassOf","Matrix and PST Properties"
"PolymerPlasticType","subClassOf","PhysicalProperty"
"PolymerType","subClassOf","Matrix Properties"
"PolymerType","subClassOf","Matrix and Filler Properties"
"PolymerType","subClassOf","Matrix and PST Properties"
"PolymerType","subClassOf","PhysicalProperty"
"ComponentCompositionWeightFraction","subClassOf","Shared Physical Properties"
"ComponentCompositionWeightFraction","subClassOf","PhysicalProperty"
"ComponentCompositionVolumeFraction","subClassOf","Shared Physical Properties"
"ComponentCompositionVolumeFraction","subClassOf","PhysicalProperty"
"NonSphericalShapeLength","subClassOf","Filler Properties"
"NonSphericalShapeLength","subClassOf","Matrix and Filler Properties"
"NonSphericalShapeLength","subClassOf","PhysicalProperty"
"NonSphericalShapeWidth","subClassOf","Filler Properties"
"NonSphericalShapeWidth","subClassOf","Matrix and Filler Properties"
"NonSphericalShapeWidth","subClassOf","PhysicalProperty"
"NonSphericalShapeDepth","subClassOf","Filler Properties"
"NonSphericalShapeDepth","subClassOf","Matrix and Filler Properties"
"NonSphericalShapeDepth","subClassOf","PhysicalProperty"
"Manufacturer","subClassOf","MetadataProperty"
"Manufacturer","subClassOf","Shared Metadata Properties"
"Abbreviation","subClassOf","MetadataProperty"
"Abbreviation","subClassOf","Shared Metadata Properties"
"ChemicalName","subClassOf","MetadataProperty"
"ChemicalName","subClassOf","Shared Metadata Properties"
"PubChemReference","subClassOf","MetadataProperty"
"PubChemReference","subClassOf","Shared Properties"
"PubChemReference","subClassOf","Matrix and Filler Properties"
"TradeName","subClassOf","MetadataProperty"
"TradeName","subClassOf","Shared Metadata Properties"
