"SiO2_Nanoparticles","hasQuantity","5 wt%"
"NanosilicaAEAPS","hasComponent","n-(2-aminoethyl) 3-aminopropyltrimethoxysilane"
"NanosilicaHMDS","hasComponent","hexamethyldisilazane"
"NanosilicaTES","hasComponent","triethoxyvinylsilane"
"XLPE","hasProperty","Breakdown strength: 270 kV/mm"
"XLPENanosilicaUntreated","hasProperty","Breakdown strength: 314 kV/mm"
"XLPENanosilicaAEAPS","hasProperty","Breakdown strength: 400 kV/mm"
"XLPENanosilicaHMDS","hasProperty","Breakdown strength: 336 kV/mm"
"XLPENanosilicaTES","hasProperty","Breakdown strength: 446 kV/mm"
"XLPE","hasProperty","Crystallinity: 40%"
"XLPENanosilicaTES","hasProperty","Crystallinity: 60%"
"XLPENanosilicaUntreated","hasProperty","Permittivity: 2.2"
"XLPEMicrosilica","hasProperty","Permittivity: 3.14"
"XLPENanosilicaUntreated","hasProperty","Activation energy: 0.18 ± 0.05 eV"
"XLPENanosilicaAEAPS","hasProperty","Activation energy: 0.34 ± 0.07 eV"
"XLPENanosilicaHMDS","hasProperty","Activation energy: 0.31 ± 0.04 eV"
"XLPENanosilicaTES","hasProperty","Activation energy: 0.18 ± 0.09 eV"
"XLPEMicrosilica","hasProperty","Activation energy: 0.28 ± 0.06 eV"
"Collection","hasDOI","https://doi.org/10.1007/s10853-006-0413-0"
