"Silica","hasComponent","XLPE"
"XLPE","hasProperty","Breakdown strength: 270 kV/mm"
"XLPE + untreated nanosilica","hasProperty","Breakdown strength: 314 kV/mm"
"XLPE + AEAPS treated nanosilica","hasProperty","Breakdown strength: 400 kV/mm"
"XLPE + HMDS treated nanosilica","hasProperty","Breakdown strength: 336 kV/mm"
"XLPE + TES treated nanosilica","hasProperty","Breakdown strength: 446 kV/mm"
"XLPE","hasProperty","Permittivity: 2.2"
"Microcomposites","hasProperty","Permittivity: 3.14"
"Nanocomposites","hasProperty","Permittivity: 2.2"
"XLPE","hasProperty","Crystallinity: 40%"
"Micron scale composites","hasProperty","Crystallinity: 40%"
"Untreated nanoscale silica","hasProperty","Crystallinity: 40%"
"AEAPS treated silica nanocomposites","hasProperty","Crystallinity: 40%"
"HMDS treated silica nanocomposites","hasProperty","Crystallinity: 40%"
"TES treated silica nanocomposites","hasProperty","Crystallinity: 60%"
"Untreated silica nanoparticles","hasProperty","EPR signal: 6000 a.u."
"Micron Scale silica","hasProperty","EPR signal: 550 a.u."
"AEAPS treated nanosilica","hasProperty","EPR signal: 250 a.u."
"HMDS treated nanosilica","hasProperty","EPR signal: 550 a.u."
"TES treated nanosilica","hasProperty","EPR signal: 550 a.u."
"All composites","hasQuantity","5 wt%"
"Tungsten electrode","hasProperty","Tip radius: 4 μm"
"Tungsten electrode","hasProperty","Tip radius: 12 μm"
"Gold electrodes","hasProperty","Thickness: 150 Å"
"Samples","hasProperty","Thickness: 0.15 mm to 0.015 mm"
"Laminar samples","hasProperty","Thickness: 0.5 mm"
"TSC samples","hasProperty","Thickness: 100 μm"
"Absorption current samples","hasProperty","Thickness: 50 μm to 500 μm"
"XLPE + untreated nanosilica","hasProperty","Activation energy: 0.18 ± 0.05 eV"
"XLPE + AEAPS treated nanosilica","hasProperty","Activation energy: 0.34 ± 0.07 eV"
"XLPE + HMDS-treated nanosilica","hasProperty","Activation energy: 0.31 ± 0.04 eV"
"XLPE + TES treated nanosilica","hasProperty","Activation energy: 0.18 ± 0.09 eV"
"XLPE + microsilica","hasProperty","Activation energy: 0.28 ± 0.06 eV"
